scenario,replicate,step,susceptible,infected,recovered
baseline,0,0,175,5,0
baseline,0,1,175,5,0
baseline,0,2,175,5,0
baseline,0,3,173,7,0
baseline,0,4,173,7,0
baseline,0,5,170,10,0
baseline,0,6,167,13,0
baseline,0,7,165,15,0
baseline,0,8,160,20,0
baseline,0,9,155,25,0
baseline,0,10,154,26,0
baseline,0,11,148,32,0
baseline,0,12,142,38,0
baseline,0,13,139,41,0
baseline,0,14,135,40,5
baseline,0,15,129,46,5
baseline,0,16,124,51,5
baseline,0,17,118,55,7
baseline,0,18,112,61,7
baseline,0,19,107,63,10
baseline,0,20,102,65,13
baseline,0,21,95,70,15
baseline,0,22,89,71,20
baseline,0,23,84,71,25
baseline,0,24,80,74,26
baseline,0,25,69,79,32
baseline,0,26,61,81,38
baseline,0,27,57,82,41
baseline,0,28,52,83,45
baseline,0,29,49,80,51
baseline,0,30,47,77,56
baseline,0,31,45,73,62
baseline,0,32,37,75,68
baseline,0,33,35,72,73
baseline,0,34,32,70,78
baseline,0,35,31,64,85
baseline,0,36,27,62,91
baseline,0,37,25,59,96
baseline,0,38,25,55,100
baseline,0,39,23,46,111
baseline,0,40,23,38,119
baseline,0,41,23,34,123
baseline,0,42,22,30,128
baseline,0,43,21,28,131
baseline,0,44,21,26,133
baseline,0,45,20,25,135
baseline,0,46,20,17,143
baseline,0,47,20,15,145
baseline,0,48,18,14,148
baseline,0,49,18,13,149
baseline,0,50,18,9,153
baseline,0,51,18,7,155
baseline,0,52,18,7,155
baseline,0,53,18,5,157
baseline,0,54,18,5,157
baseline,0,55,17,6,157
baseline,0,56,17,5,158
baseline,0,57,17,4,159
baseline,0,58,17,4,159
baseline,0,59,17,3,160
baseline,0,60,17,3,160
baseline,0,61,17,3,160
baseline,0,62,17,1,162
baseline,0,63,17,1,162
baseline,0,64,17,1,162
baseline,0,65,17,1,162
baseline,0,66,17,1,162
baseline,0,67,17,1,162
baseline,0,68,17,1,162
baseline,0,69,17,0,163
baseline,1,0,175,5,0
baseline,1,1,175,5,0
baseline,1,2,174,6,0
baseline,1,3,174,6,0
baseline,1,4,172,8,0
baseline,1,5,170,10,0
baseline,1,6,169,11,0
baseline,1,7,168,12,0
baseline,1,8,165,15,0
baseline,1,9,162,18,0
baseline,1,10,160,20,0
baseline,1,11,157,23,0
baseline,1,12,154,26,0
baseline,1,13,150,30,0
baseline,1,14,149,26,5
baseline,1,15,147,28,5
baseline,1,16,144,30,6
baseline,1,17,140,34,6
baseline,1,18,136,36,8
baseline,1,19,135,35,10
baseline,1,20,130,39,11
baseline,1,21,127,41,12
baseline,1,22,122,43,15
baseline,1,23,121,41,18
baseline,1,24,120,40,20
baseline,1,25,113,44,23
baseline,1,26,108,46,26
baseline,1,27,102,48,30
baseline,1,28,99,50,31
baseline,1,29,93,54,33
baseline,1,30,87,57,36
baseline,1,31,83,57,40
baseline,1,32,80,56,44
baseline,1,33,78,57,45
baseline,1,34,73,57,50
baseline,1,35,71,56,53
baseline,1,36,69,53,58
baseline,1,37,65,56,59
baseline,1,38,62,58,60
baseline,1,39,60,53,67
baseline,1,40,56,52,72
baseline,1,41,56,46,78
baseline,1,42,53,46,81
baseline,1,43,50,43,87
baseline,1,44,49,38,93
baseline,1,45,43,40,97
baseline,1,46,42,38,100
baseline,1,47,39,39,102
baseline,1,48,37,36,107
baseline,1,49,36,35,109
baseline,1,50,34,35,111
baseline,1,51,32,33,115
baseline,1,52,32,30,118
baseline,1,53,31,29,120
baseline,1,54,31,25,124
baseline,1,55,31,25,124
baseline,1,56,31,22,127
baseline,1,57,30,20,130
baseline,1,58,30,19,131
baseline,1,59,30,13,137
baseline,1,60,30,12,138
baseline,1,61,30,9,141
baseline,1,62,30,7,143
baseline,1,63,30,6,144
baseline,1,64,30,4,146
baseline,1,65,30,2,148
baseline,1,66,30,2,148
baseline,1,67,30,1,149
baseline,1,68,30,1,149
baseline,1,69,30,1,149
baseline,1,70,30,1,149
baseline,1,71,30,0,150
baseline,2,0,175,5,0
baseline,2,1,173,7,0
baseline,2,2,171,9,0
baseline,2,3,170,10,0
baseline,2,4,166,14,0
baseline,2,5,164,16,0
baseline,2,6,158,22,0
baseline,2,7,156,24,0
baseline,2,8,148,32,0
baseline,2,9,145,35,0
baseline,2,10,141,39,0
baseline,2,11,138,42,0
baseline,2,12,132,48,0
baseline,2,13,126,54,0
baseline,2,14,121,54,5
baseline,2,15,119,54,7
baseline,2,16,113,58,9
baseline,2,17,106,64,10
baseline,2,18,101,65,14
baseline,2,19,96,68,16
baseline,2,20,90,68,22
baseline,2,21,82,74,24
