scenario,step,susceptible,infected,recovered
baseline,0,175.0,5.0,0.0
baseline,1,174.0,6.0,0.0
baseline,2,172.5,7.5,0.0
baseline,3,171.5,8.5,0.0
baseline,4,169.17,10.83,0.0
baseline,5,167.17,12.83,0.0
baseline,6,164.83,15.17,0.0
baseline,7,162.5,17.5,0.0
baseline,8,158.33,21.67,0.0
baseline,9,154.33,25.67,0.0
baseline,10,150.0,30.0,0.0
baseline,11,145.83,34.17,0.0
baseline,12,141.5,38.5,0.0
baseline,13,137.0,43.0,0.0
baseline,14,132.5,42.5,5.0
baseline,15,130.0,44.0,6.0
baseline,16,125.17,47.33,7.5
baseline,17,119.33,52.17,8.5
baseline,18,113.67,55.5,10.83
baseline,19,109.0,58.17,12.83
baseline,20,103.67,61.17,15.17
baseline,21,96.83,65.67,17.5
baseline,22,91.67,66.67,21.67
baseline,23,87.0,67.33,25.67
baseline,24,82.0,68.0,30.0
baseline,25,76.17,69.67,34.17
baseline,26,72.0,69.5,38.5
baseline,27,67.33,69.67,43.0
baseline,28,63.0,69.5,47.5
baseline,29,59.17,70.83,50.0
baseline,30,56.0,69.17,54.83
baseline,31,52.17,67.17,60.67
baseline,32,49.33,64.33,66.33
baseline,33,46.33,62.67,71.0
baseline,34,43.67,60.0,76.33
baseline,35,41.0,55.83,83.17
baseline,36,38.33,53.33,88.33
baseline,37,36.17,50.83,93.0
baseline,38,34.83,47.17,98.0
baseline,39,33.67,42.5,103.83
baseline,40,32.5,39.5,108.0
baseline,41,32.0,35.33,112.67
baseline,42,30.0,33.0,117.0
baseline,43,28.0,31.17,120.83
baseline,44,27.67,28.33,124.0
baseline,45,26.17,26.0,127.83
baseline,46,25.33,24.0,130.67
baseline,47,24.67,21.67,133.67
baseline,48,23.5,20.17,136.33
baseline,49,22.83,18.17,139.0
baseline,50,22.33,16.0,141.67
baseline,51,21.5,14.67,143.83
baseline,52,21.33,13.5,145.17
baseline,53,20.67,13.0,146.33
baseline,54,20.17,12.33,147.5
baseline,55,20.0,12.0,148.0
baseline,56,19.83,10.17,150.0
baseline,57,19.5,8.5,152.0
baseline,58,19.33,8.33,152.33
baseline,59,19.17,7.0,153.83
baseline,60,18.83,6.5,154.67
baseline,61,18.67,6.0,155.33
baseline,62,18.67,4.83,156.5
baseline,63,18.67,4.17,157.17
baseline,64,18.67,3.67,157.67
baseline,65,18.67,2.83,158.5
baseline,66,18.67,2.67,158.67
baseline,67,18.67,2.0,159.33
baseline,68,18.67,1.5,159.83
baseline,69,19.4,1.6,159.0
baseline,70,20.0,1.75,158.25
baseline,71,20.67,1.67,157.67
baseline,72,16.0,2.0,162.0
baseline,73,16.0,1.5,162.5
baseline,74,16.0,0.5,163.5
baseline,75,15.0,0.0,165.0
high_distancing,0,175.0,5.0,0.0
high_distancing,1,174.17,5.83,0.0
high_distancing,2,172.83,7.17,0.0
high_distancing,3,172.33,7.67,0.0
high_distancing,4,171.67,8.33,0.0
high_distancing,5,170.67,9.33,0.0
high_distancing,6,169.33,10.67,0.0
