step,susceptible,infected,recovered
0,175,5,0
1,173,7,0
2,173,7,0
3,172,8,0
4,168,12,0
5,165,15,0
6,162,18,0
7,161,19,0
8,154,26,0
9,150,30,0
10,147,33,0
11,144,36,0
12,137,43,0
13,130,50,0
14,126,49,5
15,123,50,7
16,120,53,7
17,115,57,8
18,114,54,12
19,112,53,15
20,109,53,18
21,105,56,19
22,102,52,26
23,98,52,30
24,93,54,33
25,91,53,36
26,87,50,43
27,84,46,50
28,81,45,54
29,78,45,57
30,77,43,60
31,76,39,65
32,72,42,66
33,69,43,68
34,68,41,71
35,66,39,75
36,63,39,78
37,61,37,82
38,56,37,87
39,56,35,89
40,56,31,93
41,56,28,96
42,54,27,99
43,53,25,102
44,52,25,103
45,50,26,104
46,49,23,108
47,49,20,111
48,48,20,112
49,46,20,114
50,45,18,117
51,45,16,119
52,45,11,124
53,44,12,124
54,43,13,124
55,43,13,124
56,43,11,126
57,42,11,127
58,42,10,128
59,42,8,130
60,41,8,131
61,41,8,131
62,41,7,132
63,41,5,134
64,41,4,135
65,41,4,135
66,41,4,135
67,41,3,136
68,41,2,137
69,41,2,137
70,41,2,137
71,41,1,138
72,41,1,138
73,41,1,138
74,40,1,139
75,40,1,139
76,40,1,139
77,40,1,139
78,40,1,139
79,40,1,139
80,40,1,139
