step,susceptible,infected,recovered
0,175,5,0
1,174,6,0
2,174,6,0
3,174,6,0
4,172,8,0
5,171,9,0
6,170,10,0
7,170,10,0
8,170,10,0
9,169,11,0
10,168,12,0
11,166,14,0
12,165,15,0
13,163,17,0
14,160,15,5
15,159,15,6
16,158,16,6
17,157,17,6
18,156,16,8
19,151,20,9
20,149,21,10
21,144,26,10
22,143,27,10
23,136,33,11
24,133,35,12
25,130,36,14
26,128,37,15
27,121,42,17
28,117,43,20
29,114,45,21
30,112,46,22
31,107,50,23
32,104,52,24
33,98,53,29
34,96,53,31
35,92,52,36
36,89,54,37
37,89,47,44
38,86,47,47
39,84,46,50
40,80,48,52
41,77,44,59
42,76,41,63
43,71,43,66
44,69,43,68
45,69,38,73
46,68,36,76
47,67,31,82
48,66,30,84
49,62,30,88
50,57,32,91
51,54,35,91
52,54,32,94
53,53,31,96
54,53,27,100
55,52,25,103
56,51,25,104
57,50,21,109
58,50,19,111
59,50,19,111
60,50,18,112
61,49,18,113
62,49,17,114
63,48,14,118
64,46,11,123
65,45,9,126
66,45,9,126
67,45,8,127
68,45,8,127
69,44,8,128
70,44,7,129
71,44,6,130
72,44,6,130
73,44,6,130
74,44,6,130
75,43,6,131
76,43,6,131
77,43,5,132
78,43,3,134
79,43,2,135
80,43,2,135
